,Names,Loction,No of Courses,Entrance Exam,Ratings,fee,No of Seats
416,Telangana University,Nizamabad,3, TSICET ,4.0,20000,90
417,Jhulelal Institute of Technology,Nagpur,1, CAT ,3.0,142000,120
418,"NSHM Business School, Durgapur",Durgapur,2, CAT ,4.5,425000,60
419,Prasad V Potluri Siddhartha Institute of Technology,Vijayawada,1, APICET ,4.5,97600,60
420,C. Abdul Hakeem College of Engineering and Technology,Vellore,1, TANCET MBA ,3.0,35000,60
421,"Chitkara College of Sales and Marketing, Chitkara University, Chandigarh",Chandigarh,3, CAT ,4.4,260000,400
422,"Institute of Management, Bharati Vidyapeeth",Kolhapur,1, BMAT ,4.2,170000,60
423,Akemi Business School, Pune,2, CAT ,4.7,300000,180
424,Dr. B.R. Ambedkar Institute of Management and Technology, Hyderabad,1, TSICET ,1.0,70000,120
425,United School of Business Management,Bhubaneswar,2, CAT ,4.3,160000,180
426,LDRP Institute of Technology and Research,Gandhinagar,1, CAT ,4.0,180000,60
427,Crescent School of Business (CSB), Chennai,2, CAT ,4.6,450000,210
428,ITS Engineering College,Greater Noida,1, UPCET ,4.5,119000,60
429,R.A. Podar Institute of Management,Jaipur,2, PIM-MAT ,3.9,189000,240
430,"ASM Institute of Professional Studies, Pune", Pune,2, CAT ,4.6,170000,180
